job_title,salary,company_size,company_type,company_industry,company_sector,company_revenue,salary_hourly,company_name,company_rating,state,company_age,python,SQL,excel,tableau,power_bi,math,machine_learning,statistics,presentation,reporting
APS 6 Level Business Intelligence Analyst,60.5,51-200,Company - Public,,,$25 to $50 million (USD),1,HOBAN Recruitment,3.4,NSW,,0,0,1,0,0,0,0,1,0,1
"IT Analyst, Strategy & Architecture",119717.0,201-500,Company - Public,Real Estate,Real Estate,,0,Dexus,3.4,NSW,39.0,0,0,1,0,0,0,0,0,0,0
Master Data Analyst,79034.0,501-1000,Company - Private,,,,0,Ampcontrol,3.5,NSW,,0,0,1,0,0,0,0,0,0,0
Junior Sales Insights Analyst,69703.0,>10000,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),0,FERRERO,3.4,NSW,77.0,0,0,1,0,1,0,0,0,0,1
Business Intelligence Analyst (Qlick),97980.0,501-1000,Company - Private,,,,0,AI Australia,,NSW,,0,1,0,0,0,0,0,0,0,1
Business Intelligence & Integrations Analyst,100995.0,1001-5000,Non-profit Organisation,Grantmaking & Charitable Foundations,Non-profit & NGO,$100 to $500 million (USD),0,HammondCare,3.6,NSW,91.0,0,1,0,0,1,0,0,0,0,1
Senior Data Analyst,86603.0,>10000,Company - Public,Insurance Carriers,Insurance,,0,QBE,3.8,NSW,137.0,1,0,1,0,0,0,0,0,0,1
Technical Business Analyst,121820.0,>10000,Company - Public,Grocery Stores,Retail & Wholesale,$10+ billion (USD),0,WooliesX,3.7,NSW,99.0,0,0,1,0,0,0,0,0,1,0
Technical Business Analyst,106066.0,51-200,Company - Private,,,,0,nib NZ,2.4,NSW,,0,1,1,0,0,0,0,0,0,1
Configuration Analyst,103414.0,1001-5000,Company - Public,Investment & Asset Management,Finance,$500 million to $1 billion (USD),0,Link Group,3.3,NSW,18.0,0,1,1,0,0,0,0,0,0,0
Business Analyst - Global Asset Management Distribution,134164.0,501-1000,Company - Public,Investment & Asset Management,Finance,$100 to $500 million (USD),0,Perpetual Limited,3.7,NSW,137.0,0,0,1,0,1,0,0,0,1,1
Technical Business Analyst,119682.0,1001-5000,Company - Public,Insurance Carriers,Insurance,,0,nib health funds,4.2,NSW,71.0,0,1,1,0,0,0,0,0,0,1
Service Integrity Analyst,91258.0,>10000,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),0,Nielsen,3.6,NSW,100.0,1,1,1,1,0,0,0,1,0,0
Finance Analyst - Transactions & Reporting,111166.0,201-500,Company - Public,Real Estate,Real Estate,,0,Dexus,3.4,NSW,39.0,0,0,0,0,0,0,0,0,0,1
Marketing Analyst,76683.0,51-200,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $25 million (USD),0,Sparro,,NSW,10.0,1,1,1,1,1,0,0,0,0,1
Senior Data Analyst,153750.0,51-200,Company - Private,Advertising & Public Relations,Media & Communication,,0,Rokt,3.7,NSW,11.0,1,1,0,1,0,0,1,1,0,1
Business Analyst (ITIL witn Baseline),97668.0,201-500,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),0,FinXL,4.0,NSW,20.0,0,0,0,0,0,0,0,0,0,1
"VP, Data Analytics",111826.0,501-1000,Company - Private,Enterprise Software & Network Solutions,Information Technology,,0,SafetyCulture,3.8,NSW,19.0,0,0,1,0,0,0,0,0,0,0
Senior Data Analyst,148245.0,1001-5000,Company - Public,Mining & Metals,"Energy, Mining, Utilities",,0,Evolution Mining,3.6,NSW,12.0,0,0,0,0,1,0,0,0,0,1
Marketing Analyst FP&A,133158.0,201-500,Company - Public,Financial Transaction Processing,Finance,$25 to $50 million (USD),0,OFX,4.2,NSW,25.0,0,1,1,1,0,1,0,1,0,1
Senior Cost Benefit Analysis (CBA) Analyst,127022.0,501-1000,Government,National Services & Agencies,Government & Public Administration,,0,NSW Government -Department of Education,4.1,NSW,,0,0,0,0,0,0,0,0,0,1
Senior Business Analyst - Fixed Term contract till 30/06/2025,156737.0,501-1000,Government,National Services & Agencies,Government & Public Administration,,0,Transport For NSW,4.1,NSW,,0,0,0,0,0,0,0,0,0,0
Financial Analyst,70000.0,1-50,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD),0,11 Recruitment Parent,4.8,NSW,,0,0,1,0,0,0,0,0,1,1
Procurement Analyst,113605.0,1-50,Company - Private,HR Consulting,Human Resources & Staffing,,0,Sirius People,3.7,NSW,20.0,0,1,1,0,1,0,0,0,1,1
"Multiple roles - Business Analyst - Data ,Digital",178000.0,Unknown,Company - Private,,,,0,HiTech Personnel,3.2,NSW,,0,0,0,0,0,0,0,0,0,0
Project Analyst - Business Transformation,138400.0,1001-5000,Company - Private,Grocery Stores,Retail & Wholesale,,0,ALDI Stores,3.5,NSW,24.0,0,1,1,1,1,0,0,0,0,1
Data Analytics Admin Engineer,92195.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,Macquarie Group Limited,4.0,NSW,54.0,0,0,0,0,1,0,0,0,0,0
Senior Business Analyst,106066.0,1-50,Company - Private,,,,0,Austroads,,NSW,,0,1,1,0,0,0,0,0,0,0
Technical Analyst - SQL Developer,109772.0,1001-5000,Company - Public,Investment & Asset Management,Finance,$500 million to $1 billion (USD),0,Link Group,3.3,NSW,18.0,0,1,1,0,0,0,0,0,0,1
Senior Data Analyst - Risk and Controls,100995.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),0,Commonwealth Bank,3.9,NSW,112.0,0,1,1,1,0,0,0,0,0,1
"Data Analytics Engineer - Python, JavaScript, ML, Docker",134164.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),0,Commonwealth Bank,3.9,NSW,112.0,1,1,0,0,0,0,0,0,0,0
Senior Data Management Analyst | Group Treasury,185257.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,Macquarie Group Limited,4.0,NSW,54.0,0,0,1,0,0,0,0,0,0,1
Business Analyst,96695.0,Unknown,,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",,0,ION,3.5,NSW,,0,0,1,0,0,0,0,0,1,0
Senior Insights Analyst (12-month fixed term),93808.0,>10000,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),0,Visa,4.1,NSW,65.0,1,1,1,0,0,0,0,0,0,0
Lead Business Analyst,144649.0,>10000,Company - Private,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),0,Virtusa,3.7,NSW,27.0,0,1,1,1,1,0,0,0,0,0
Pricing Analyst,80000.0,51-200,Company - Private,,,,0,Bluefin Resources,4.0,NSW,,1,1,0,0,0,0,0,0,0,1
Data Analytics Consultant,96437.0,1-50,Company - Private,,,,0,Talent Web,4.6,NSW,,0,0,0,0,0,0,0,0,0,0
Data Analyst,130000.0,1-50,Company - Private,Information Technology Support Services,Information Technology,,0,Zone IT Solutions,4.4,NSW,11.0,0,1,0,0,0,0,0,0,0,0
Data Analytics Project Manager,126541.0,Unknown,Company - Private,,,,0,CareCone Australia,4.0,NSW,,0,1,0,0,0,0,0,0,0,1
Senior Data Analyst,123238.0,51-200,Company - Private,Software Development,Information Technology,,0,Big Red Group,2.2,NSW,6.0,1,1,0,0,1,0,0,1,0,1
BI Reporting Developer,115152.0,51-200,Company - Private,,,,0,The Law Society of NSW,3.1,NSW,,0,1,0,0,1,1,0,1,0,1
Business Analyst,106066.0,51-200,Company - Private,,,,0,TEG,,NSW,,0,0,1,0,0,0,0,0,1,1
Business Analyst (Finance),67521.0,>10000,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD),0,McDonalds Australia,3.5,NSW,68.0,0,0,1,0,0,0,0,0,0,1
Data Analyst,101464.0,1-50,Company - Private,,,,0,Uncommon People,,NSW,,1,1,0,0,0,1,0,1,0,1
Technical Business Analyst (BA) Data Warehouse-Data Engineering,130000.0,1-50,Company - Private,HR Consulting,Human Resources & Staffing,Less than $1 million (USD),0,Scale Up Recruitment,3.5,NSW,3.0,0,0,0,0,0,0,0,0,0,0
"Spatial Data Analysts [SQL, ETL, Python]",104022.0,1-50,Company - Private,,,,0,Ever Better Recruitment (EBR),2.1,NSW,,1,1,0,0,0,0,0,0,0,0
BA - Data Analytics (Contract),125000.0,1-50,Company - Private,Business Consulting,Management & Consulting,Less than $1 million (USD),0,Avenir Consulting,4.2,NSW,,1,1,1,1,1,0,0,0,0,0
Full-time Developer Programmer in FinTech Data Analytics/Visualization,100000.0,,,,,,0,Sigma Trading Management Pty Ltd,,NSW,,0,1,0,0,0,0,0,0,0,1
"Senior Analyst, Data Delivery and Reporting",98869.0,5001-10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,AMP Limited,3.1,NSW,174.0,0,0,0,0,0,0,0,0,0,1
Fund Analyst,95000.0,Unknown,Company - Private,,,,0,Intuitive Recruitment,5.0,NSW,,0,0,1,0,0,0,0,0,1,1
Senior Data Analyst: Investment Data Management (IDM) - Remote,103235.0,Unknown,Company - Private,,,,0,Nixil,4.0,NSW,,0,0,1,0,0,1,0,0,0,0
Engineering Data Administrator and Reporting Specialist,88680.0,1001-5000,Company - Private,Food & Beverage Manufacturing,Manufacturing,$2 to $5 billion (USD),0,Lion Pty Ltd,3.7,NSW,,0,0,1,0,0,0,0,0,0,1
Client Implementation Analyst,87561.0,>10000,Company - Public,Business Consulting,Management & Consulting,$2 to $5 billion (USD),0,Equifax,3.5,NSW,124.0,0,0,1,0,0,0,0,0,0,0
Senior Energy Pricing Analyst,107345.0,501-1000,Company - Private,Energy & Utilities,"Energy, Mining, Utilities",,0,Alinta Energy,3.5,NSW,28.0,1,1,1,1,1,1,0,1,1,1
Senior Business Analyst - Consulting Group,150000.0,1-50,Company - Private,HR Consulting,Human Resources & Staffing,,0,Richard Lloyd,5.0,NSW,15.0,0,0,0,1,1,0,0,0,0,1
ICT Business Analyst,95000.0,1-50,Company - Private,,,,0,Job Capital,4.4,NSW,,0,0,0,0,0,0,1,1,0,0
Quantitative Analyst | Commodities and Global Markets,119718.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,Macquarie Group Limited,4.0,NSW,54.0,1,0,0,0,0,1,0,0,0,0
Digital Business Analyst // FMCG //...,120000.0,201-500,Company - Private,"Staffing, Recruitment & Subcontracting",Human Resources & Staffing,$500 million to $1 billion (USD),0,Talent International,4.3,NSW,28.0,0,0,1,0,0,0,0,0,0,0
Sales Analyst,80901.0,Unknown,Company - Public,,,,0,Carrera,,NSW,,0,0,1,0,1,0,0,0,1,1
Technical Business Analyst,67521.0,>10000,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD),0,McDonalds Australia,3.5,NSW,68.0,0,1,0,1,0,0,0,0,0,0
Business Intelligence Manager,166925.0,>10000,Company - Public,Banking & Lending,Finance,$10+ billion (USD),0,Westpac Group,3.7,NSW,206.0,0,1,0,1,1,0,0,0,1,1
BA - Data Analytics Insurance & Funds Management (Contract),120934.0,1-50,Company - Private,Business Consulting,Management & Consulting,Less than $1 million (USD),0,Avenir Consulting,4.2,NSW,,0,1,1,1,1,0,0,0,0,1
Business Analyst,102701.0,Unknown,Company - Public,,,,0,MACS Technologies,,NSW,,0,0,1,0,0,0,0,0,0,0
Macro Space Analyst,98869.0,>10000,Company - Public,Grocery Stores,Retail & Wholesale,$10+ billion (USD),0,Woolworths,3.7,NSW,99.0,0,1,0,0,0,0,0,0,0,0
Technical Business Analyst,144649.0,>10000,Company - Private,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),0,Virtusa,3.7,NSW,27.0,0,0,1,0,0,0,0,0,0,1
Supply Chain Analyst / Data Analyst,90000.0,201-500,Company - Private,Security & Protective,Management & Consulting,,0,Michael Page,4.4,NSW,,0,1,1,0,1,0,0,0,0,1
Data Analytics Senior Consultant,81397.0,>10000,Company - Private,Business Consulting,Management & Consulting,$2 to $5 billion (USD),0,KPMG,3.8,NSW,36.0,0,0,1,0,1,0,0,0,0,1
IT Business Analyst,130000.0,51-200,Company - Private,Information Technology Support Services,Information Technology,,0,InfoCentric,3.5,NSW,14.0,0,1,1,0,0,0,1,0,1,0
Senior Data Analyst/Scientist,103235.0,1-50,College / University,,,,0,International Institute of Data & Analytics,,NSW,,1,1,1,0,0,1,1,1,1,0
Procurement Analyst,90028.0,1001-5000,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$2 to $5 billion (USD),0,TPG Telecom,4.0,NSW,3.0,0,0,1,0,0,0,0,0,0,1
"Sr Analyst, Investment Management (CBRE IM)",111041.0,>10000,Company - Public,Real Estate,Real Estate,,0,CBRE,4.0,NSW,117.0,0,0,1,0,0,0,0,0,0,1
ICT Business Analyst,80000.0,,,,,,0,Ayers Management,,NSW,,0,0,0,0,0,0,0,0,0,0
Senior Reporting Analyst,96747.0,5001-10000,Company - Private,,,$2 to $5 billion (USD),0,Pacific National,3.5,NSW,,0,0,1,0,0,0,0,0,1,1
Senior Associate Business Analyst,114018.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),0,Commonwealth Bank,3.9,NSW,112.0,0,0,0,0,0,0,0,0,0,0
Business Analyst,102701.0,1-50,Company - Private,,,,0,Information Technology & Engineering Consultants,,NSW,,0,0,1,0,0,1,0,1,0,0
Snr Governance Risk & Compliance Analyst,127021.0,501-1000,Government,National Services & Agencies,Government & Public Administration,,0,NSW Government -Legal & Governance,4.1,NSW,,0,0,0,0,0,0,0,0,0,0
Governance Research Analyst (Open to New Graduates),75674.0,1001-5000,,Research & Development,Management & Consulting,$25 to $50 million (USD),0,Institutional Shareholder Services,3.4,NSW,38.0,0,0,1,0,0,0,0,0,0,0
Senior Data Analyst,127703.0,1001-5000,Government,National Services & Agencies,Government & Public Administration,,0,Nepean Blue Mountains Local Health District,3.6,NSW,,1,1,0,0,0,0,0,0,0,1
Solutions Consultant / Technical Analyst (APAC),81394.0,51-200,Company - Public,,,,0,Prophecy International,4.5,NSW,,0,0,1,0,0,0,0,0,0,1
Fraud Analyst,68739.0,51-200,Company - Private,HR Consulting,Human Resources & Staffing,,0,Polyglot Group,4.1,NSW,28.0,0,0,1,0,0,0,0,0,0,0
D6 - Business Analyst - NSW,102701.0,1-50,Private Practice / Firm,,,,0,D6,,NSW,,0,0,1,0,0,0,0,0,0,0
Business Analyst | Financial Risk Projects,108167.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,Macquarie Group Limited,4.0,NSW,54.0,0,0,0,0,0,0,0,0,0,1
Senior Technical Business Analyst | Data,108167.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,Macquarie Group Limited,4.0,NSW,54.0,0,0,0,0,0,0,0,0,0,1
Senior Technical Data Analyst,150725.0,501-1000,Government,National Services & Agencies,Government & Public Administration,,0,NSW Government -Local Land Services,4.1,NSW,,1,1,0,0,0,0,0,0,0,1
"Finance Analyst, Financial Planning & Analysis (Expression of Interest)",84587.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),0,Commonwealth Bank,3.9,NSW,112.0,0,1,1,0,0,0,0,0,0,1
HR System Analyst,102740.0,1-50,Company - Public,,,,0,Green by Nature,4.0,NSW,,0,0,1,1,0,0,0,1,0,1
"Supply Chain Finance Analyst, Australia",94130.0,5001-10000,Company - Private,Food & Beverage Manufacturing,Manufacturing,,0,Bacardi,4.1,NSW,161.0,0,0,1,0,0,0,0,0,0,1
Analyst - Global Mobility Tax,69895.0,>10000,Company - Private,Accounting & Tax,Finance,$10+ billion (USD),0,Deloitte,4.0,NSW,173.0,0,0,1,0,0,0,0,0,0,0
Business Analyst - Group Financial Planning & Analysis,107331.0,51-200,Company - Private,,,,0,Finance & Property,3.5,NSW,,0,0,1,0,0,0,0,0,1,1
Campaign Analyst,76223.0,1001-5000,Company - Private,Broadcast Media,Media & Communication,,0,SBS,3.9,NSW,48.0,1,1,0,1,0,0,1,0,0,1
Research Analyst,140840.0,>10000,Company - Public,Banking & Lending,Finance,$10+ billion (USD),0,Deutsche Bank,3.9,NSW,153.0,0,0,1,0,0,1,0,0,1,0
Supply Chain Analyst,83027.0,Unknown,Company - Private,,,,0,BMG Outsourcing,3.8,NSW,,0,0,1,0,0,0,0,0,0,1
"Analyst, Finance (Japanese-speaker)",105342.0,>10000,Company - Public,Banking & Lending,Finance,$10+ billion (USD),0,"MUFG Bank, Ltd., Australia",3.6,NSW,159.0,0,0,1,0,0,0,0,0,0,1
ICT Business & System Analyst | Global IT consulting organisation | BI,102500.0,51-200,Company - Private,Enterprise Software & Network Solutions,Information Technology,,0,Billigence Pty Ltd,4.1,NSW,,0,0,1,1,0,0,1,0,0,1
Senior Analyst Model Risk,94868.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),0,Commonwealth Bank,3.9,NSW,112.0,1,1,1,1,0,0,0,0,0,1
Project Coordinator / Junior Business Analyst - Equity Markets Fintech,102701.0,1-50,Company - Private,,,,0,Anton Murray Consulting,4.7,NSW,,0,0,1,0,0,0,0,0,0,0
Security & Risk Analyst,100993.0,1-50,Company - Private,HR Consulting,Human Resources & Staffing,,0,Sirius People,3.7,NSW,20.0,0,0,0,0,0,0,0,0,0,0
Spatial Data Analyst,104022.0,1-50,Company - Private,,,,0,Ever Better Recruitment (EBR),2.1,NSW,,0,0,0,0,0,0,0,1,0,0
Financial Operations Analyst,74850.0,51-200,,,,,0,TMGM,3.2,NSW,,0,0,1,0,0,0,0,0,1,1
"Manager, Data Analysis Reporting and Evaluation",144928.0,1001-5000,Government,National Services & Agencies,Government & Public Administration,,0,Ministry of Health,3.6,NSW,,0,0,1,0,0,0,0,0,0,1
Senior Pricing Analyst,121639.0,>10000,Company - Public,Insurance Carriers,Insurance,,0,QBE Insurance,3.8,NSW,137.0,0,0,1,0,0,0,1,1,0,0
Product Data Scientist - TikTok Data Analysis - Australia,140135.0,>10000,Company - Private,Internet & Web Services,Information Technology,,0,TikTok,3.4,NSW,7.0,0,1,1,0,0,1,0,1,0,0
Business Analyst - Customer's next best action,121820.0,>10000,Company - Public,Grocery Stores,Retail & Wholesale,$10+ billion (USD),0,WooliesX,3.7,NSW,99.0,0,0,1,0,0,0,0,0,1,1
Senior ICT Business Analyst/Senior Consultant,175000.0,Unknown,Company - Private,,,,0,Qvest Media,,NSW,,0,0,0,0,0,0,0,0,1,0
Technical Report Analyst,85000.0,51-200,Company - Private,Computer Hardware Development,Information Technology,,0,Humanforce,3.7,NSW,21.0,0,1,0,0,1,0,0,0,0,1
Commercial Analyst - Lead Insight Generation,115000.0,Unknown,Company - Private,,,,0,Sharp & Carter,4.7,NSW,,0,0,1,0,1,0,0,0,0,1
Marketing Data Analyst,130000.0,1-50,Company - Private,Information Technology Support Services,Information Technology,,0,Zone IT Solutions,4.4,NSW,11.0,0,1,0,0,1,0,0,0,0,1
Integration Support Analyst,73198.0,1001-5000,Company - Public,Investment & Asset Management,Finance,$500 million to $1 billion (USD),0,Link Group,3.3,NSW,18.0,0,0,1,0,0,0,0,0,0,0
Data Analytics & Robotics Specialist,103933.0,1001-5000,Company - Public,Investment & Asset Management,Finance,$500 million to $1 billion (USD),0,Link Group,3.3,NSW,18.0,0,1,1,0,1,0,0,0,1,1
Systems and Business Analyst,107331.0,1-50,Company - Public,,,,0,DH & Associates,,NSW,,0,0,1,0,0,0,0,0,0,1
Senior Pricing Analyst,77184.0,1001-5000,Private Practice / Firm,Legal,Legal,,0,MinterEllison,3.7,NSW,196.0,0,1,1,1,0,0,0,0,1,1
Senior Business Analyst - Reporting,97211.0,51-200,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),0,Pinnacle,3.6,NSW,,0,1,1,1,0,0,0,0,0,1
Senior Insight Analyst,64440.0,5001-10000,Company - Public,Broadcast Media,Media & Communication,,0,Seven West Media,3.0,NSW,67.0,0,0,0,1,0,0,0,0,0,1
Business Intelligence Developer,115152.0,1001-5000,Company - Public,,,,0,Timezone,3.5,NSW,,0,1,1,0,1,0,0,0,0,1
Supply Chain Systems Analyst,92387.0,5001-10000,Company - Private,Metal & Mineral Manufacturing,Manufacturing,,0,Senior Leadership InfraBuild,3.3,NSW,,0,1,1,0,1,0,0,0,0,1
IT Business Analyst,99268.0,1-50,Company - Private,HR Consulting,Human Resources & Staffing,,0,Charterhouse,4.4,NSW,20.0,0,0,0,0,0,0,0,0,0,0
2024 Sydney PhD Quantitative Researcher Graduate Program,113836.0,1001-5000,Company - Private,Stock Exchanges,Finance,,0,Susquehanna International Group,4.1,NSW,36.0,0,0,0,0,0,1,1,1,0,0
Analyst Expense and Project Reporting,100000.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),0,Commonwealth Bank,3.9,NSW,112.0,0,0,1,0,0,0,0,0,1,1
Business Analyst,102701.0,1-50,Company - Private,,,,0,FourPL,,NSW,,0,0,1,0,0,0,0,0,1,0
Financial Analyst,125000.0,1-50,Company - Private,,,$1 to $5 million (USD),0,Perigon Group,3.9,NSW,,0,0,1,0,1,0,0,0,0,1
Senior Data Analyst,86603.0,>10000,Company - Public,Insurance Carriers,Insurance,,0,QBE Insurance,3.8,NSW,137.0,1,0,1,0,0,0,0,0,0,1
Operational Risk Analyst - Initial 12-month contract,100993.0,1-50,Company - Private,,,,0,Anton Murray Consulting,4.7,NSW,,0,0,1,0,1,0,0,0,0,0
Senior Business Reporting Analyst,91540.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,Macquarie Group Limited,4.0,NSW,54.0,0,0,0,0,0,0,0,0,0,1
Senior Business Analyst,103698.0,501-1000,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),0,FUJIFILM,3.7,NSW,58.0,0,0,0,0,1,0,0,0,1,1
Lending Analyst/ Finance Associate,93808.0,1001-5000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),0,Iris,4.2,NSW,45.0,0,0,1,0,0,1,0,0,0,0
Financial Analyst,100000.0,>10000,Company - Public,"Staffing, Recruitment & Subcontracting",Human Resources & Staffing,$2 to $5 billion (USD),0,Brunel,4.0,NSW,48.0,0,0,1,0,1,0,0,0,0,0
Salesforce Business Analyst,107331.0,1-50,Company - Private,,,,0,The Bridge Search Pty Ltd,,NSW,,0,0,0,0,0,0,0,0,1,0
Technical Business Analyst (BA) Data Warehouse-Data Engineering,130000.0,1-50,Company - Private,Enterprise Software & Network Solutions,Information Technology,,0,ScaleUp Recruitment,,NSW,3.0,0,0,0,0,0,0,0,0,0,0
Financial Analyst,55973.0,>10000,Company - Private,Energy & Utilities,"Energy, Mining, Utilities",$5 to $10 billion (USD),0,REMONDIS Australia,3.3,NSW,89.0,0,0,1,0,0,0,0,0,0,1
"Quantitative Risk Reporting Analyst - Clearing, Oversight & Validation (Contract)",96747.0,1-50,Company - Private,Business Consulting,Management & Consulting,Less than $1 million (USD),0,Avenir Consulting,4.2,NSW,,1,1,1,1,1,1,0,0,0,1
Marketing Insights Analyst,103990.0,501-1000,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),0,Interactive Pty Ltd,3.9,NSW,35.0,0,1,1,1,1,0,0,0,1,0
Business Analyst - Workday,81950.0,51-200,Company - Private,HR Consulting,Human Resources & Staffing,,0,Paxus Australia Pty Ltd,4.1,NSW,59.0,0,0,1,0,0,0,0,0,0,0
Commodity Risk Analyst,100993.0,1-50,Company - Private,,,,0,Anton Murray Consulting,4.7,NSW,,1,1,1,0,0,0,0,0,0,1
Senior Data Business Analyst | Commodities and Global Markets,108167.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,Macquarie Group Limited,4.0,NSW,54.0,0,0,1,0,0,0,0,0,0,0
Senior Business Analyst,114018.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),0,Commonwealth Bank,3.9,NSW,112.0,0,1,0,0,0,0,0,0,0,1
Property Analyst,147500.0,Unknown,Company - Public,,,,0,Allura Partners,,NSW,,0,0,1,0,0,0,0,0,0,1
Commercial Analyst - Supply Chain | Consumer,132500.0,Unknown,Company - Public,,,,0,Perceptor,,NSW,,0,0,0,0,0,0,0,0,1,0
Cost Benefit Analysis (CBA) Analyst,111694.0,501-1000,Government,National Services & Agencies,Government & Public Administration,,0,NSW Government -Department of Education,4.1,NSW,,0,0,0,0,0,0,0,0,0,0
ICT Business Analyst,125000.0,Unknown,Company - Public,,,,0,Easy Payroll Global,,NSW,,0,0,1,0,0,0,0,0,0,0
ICT Business Systems Analyst,97668.0,201-500,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),0,FinXL IT Professional Services,4.0,NSW,20.0,0,0,1,0,0,0,0,0,0,1
Finance Analyst,84971.0,201-500,College / University,,,,0,Australian Institute of Music,2.6,NSW,,0,0,1,0,0,0,0,0,0,1
Operations Analyst,86603.0,501-1000,Company - Private,Aerospace & Defence,Aerospace & Defence,,0,ANDURIL INDUSTRIES,4.4,NSW,6.0,1,0,0,0,0,1,0,0,1,0
Senior Analyst - Remuneration,79433.0,>10000,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),0,Colliers International,4.0,NSW,125.0,0,0,1,0,1,0,0,0,0,1
IT Business Analyst,106066.0,Unknown,Company - Private,,,,0,Shoolin Consultancy,5.0,NSW,,0,0,1,0,0,0,0,0,0,1
Business Peformance Analyst JP00010274,67.0,1-50,Company - Private,HR Consulting,Human Resources & Staffing,,1,Charterhouse,4.4,NSW,20.0,0,0,1,0,0,0,0,0,1,1
Senior Business Analyst (12 Months Fixed Term),114018.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),0,Commonwealth Bank,3.9,NSW,112.0,0,0,0,0,0,0,0,0,0,0
Energy Market Risk Analyst,73485.0,1-50,Company - Private,HR Consulting,Human Resources & Staffing,,0,Arete Executive,,NSW,14.0,0,0,0,1,0,0,0,0,0,1
Sr Business Analyst,97668.0,201-500,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),0,FinXL,4.0,NSW,20.0,0,0,0,0,0,0,0,0,0,0
IT Business Analyst,150000.0,201-500,Company - Private,,,,0,Grand Group Services PTY. LTD,1.0,NSW,,0,0,1,0,0,0,0,0,0,0
"Technology Governance, Risk and Compliance Analyst",81455.0,Unknown,Company - Private,Food & Beverage Manufacturing,Manufacturing,,0,The Arnott's Group,3.3,NSW,158.0,0,0,1,0,0,0,0,0,0,1
IT Analyst (Supply Chain and Transportation Management),138400.0,1001-5000,Company - Private,Grocery Stores,Retail & Wholesale,,0,ALDI Stores,3.5,NSW,24.0,0,0,1,0,0,0,0,0,0,0
Business Analyst,81440.0,51-200,Company - Private,Business Consulting,Management & Consulting,,0,Verve Partners,4.0,NSW,16.0,0,0,0,0,0,0,0,0,0,1
Quoting and Pricing Operations Analyst - Mobile Telecommunications Project,115350.0,>10000,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),0,Cyient,3.6,NSW,32.0,0,0,1,0,0,0,0,0,0,1
Senior PMO Analyst,125780.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,Macquarie Group Limited,4.0,NSW,54.0,0,0,0,0,0,0,0,0,0,1
Data & Integration Analyst,132500.0,,,,,,0,Aegros Therapeutics Pty Ltd,,NSW,,0,1,1,0,1,0,0,0,0,1
Operational Risk Reporting Analyst,96747.0,1-50,Company - Private,,,,0,Anton Murray Consulting,4.7,NSW,,0,0,0,0,0,0,0,0,0,1
Senior CRM Analyst,103078.0,>10000,Company - Public,,,,0,EssilorLuxottica,3.7,NSW,,0,1,1,0,0,0,0,1,0,1
