job_title,salary,company_size,company_type,company_industry,company_sector,company_revenue,company_name,company_rating,state,python,SQL,excel,tableau,power_bi,math,machine_learning,statistics,presentation,reporting,company_age,senior
Quantitative Analyst,119669.0,>10000,Company - Public,Banking & Lending,Finance,$10+ billion (USD),NAB - National Australia Bank,3.8,NSW,1,0,1,0,0,1,0,0,0,0,,0
Project Management Office and Change Analyst | Operational Risk,126412.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),Macquarie Group Limited,4.0,NSW,0,0,1,0,0,0,0,0,0,1,54.0,0
Actuarial Analyst - Pricing and Analytics,74672.0,>10000,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),Zurich Insurance,4.3,NSW,0,0,1,0,0,0,0,0,0,0,151.0,0
Sales Operations Analyst,72962.0,>10000,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),Microsoft,4.3,NSW,1,1,1,1,1,1,0,1,0,1,48.0,0
Platform Investment Analyst - Managed Portfolios Reporting,191785.0,5001-10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),AMP Limited,3.1,NSW,0,1,1,0,1,0,0,0,0,1,174.0,0
Business Analyst,90000.0,>10000,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),Komatsu,4.0,NSW,0,0,1,0,1,0,0,0,0,1,,0
Operations Insights Analyst,105000.0,>10000,Company - Public,Grocery Stores,Retail & Wholesale,$10+ billion (USD),WooliesX,3.7,NSW,1,1,1,1,0,0,0,0,0,1,99.0,0
Business Analyst,119059.0,1001-5000,Company - Private,Energy & Utilities,"Energy, Mining, Utilities",$2 to $5 billion (USD),Essential Energy,3.5,NSW,0,0,1,0,0,0,0,0,1,1,12.0,0
Operations - Tax Data Analyst - Associate,87396.0,>10000,Company - Public,Banking & Lending,Finance,$10+ billion (USD),JPMorgan Chase & Co,4.1,NSW,0,0,1,0,0,0,0,0,0,1,224.0,0
Sustainability Integration Analyst,92249.0,1001-5000,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),Stockland,3.5,NSW,0,0,1,0,0,1,0,1,0,1,,0
Commercial Analyst | 3-4 days work from home!,140000.0,>10000,Company - Public,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD),Robert Half,3.8,NSW,0,0,1,0,0,0,0,0,1,1,75.0,0
Commercial Data Analyst & Trainer,83309.0,1001-5000,Company - Public,Colleges & Universities,Education,,Torrens University Australia,2.3,NSW,0,1,1,0,1,0,0,0,1,0,11.0,0
Business Analyst,107331.0,,Company - Private,Pharmaceutical,Pharmaceutical & Biotechnology,,United for Care,,NSW,0,0,0,0,0,0,0,0,0,0,,0
Risk Analyst,100993.0,1-50,Company - Public,,,,Australian Reinsurance Pool Corporation,3.0,NSW,0,0,1,0,0,0,0,0,0,1,,0
Vendor Success and Commercial Analyst,128194.0,>10000,Company - Public,Grocery Stores,Retail & Wholesale,$10+ billion (USD),WooliesX,3.7,NSW,1,1,1,1,1,0,0,0,1,1,99.0,0
Consumer Insights Analyst,88318.0,5001-10000,Company - Private,Healthcare Services & Hospitals,Healthcare,,GenesisCare,2.7,NSW,0,0,1,1,0,0,0,1,0,1,18.0,0
Insights Analyst,97248.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),Commonwealth Bank,3.9,NSW,1,1,0,1,0,0,0,0,0,1,112.0,0
"Graduate Program – Data Science, Business Analytics & AI",123390.0,>10000,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),Komatsu Australia,4.0,NSW,0,0,0,0,0,0,0,0,0,0,,0
Supply Chain Data Analyst,107138.0,>10000,Company - Public,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$5 to $10 billion (USD),Downer Group,3.3,NSW,0,0,1,0,1,0,0,0,0,1,90.0,0
EPMO Analyst,97596.0,>10000,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),Allianz Australia,4.0,NSW,0,0,1,0,0,0,0,0,0,1,133.0,0
Data Analyst/Data Administrator,95000.0,,Company - Private,,,,Norwest Recruitment,,NSW,0,0,1,0,0,0,0,0,0,1,,0
Data Analyst,44650.0,1-50,Company - Private,Internet & Web Services,Information Technology,,Peroptyx,2.7,NSW,0,0,1,0,0,0,0,0,0,0,5.0,0
Regulatory Reporting Analyst,108444.0,1001-5000,Company - Public,Investment & Asset Management,Finance,$500 million to $1 billion (USD),Link Group,3.3,NSW,0,0,1,0,0,0,0,0,0,1,18.0,0
Data Analyst,80750.0,5001-10000,Company - Private,HR Consulting,Human Resources & Staffing,$2 to $5 billion (USD),HAYS,3.6,NSW,1,1,0,1,1,0,0,0,0,1,55.0,0
